,Text,oh_label,type_label
0,@ardiem1m @MaxBlumenthal @oldkhayyam The job Mohammed set Muslims is not done while Israel exists. http://t.co/iLVg1qTxVa,1,racism
1,"@watan71969 @geeky_zekey And looking at your page, I can see that you are in the business of photoshopping images, Islamist cocksucker.",1,racism
2,@Vandaliser @sajid_fairooz @IsraeliRegime Those Muslim states survived off the sweat of slaves and the intellect of minorities.,1,racism
3,@Sheikh_Times3 Nice of ISIS to get them together in one place so we can take out the trash.,1,racism
4,"@UmarFarooq_ @FaheemHus @jackmjenkins The peaceful Q verses are pre Medina, Mecca verses when Mohammed had little power and was endangered.",1,racism
5,"RT @Amoka: Video supposedly showing Shia militia killing a solider calling him ""kaka"" which means Mr in Kurdish has gone viral among #Kurdi…",1,racism
6,@RT_com Saudi would be a big joke if it wasn't crushing the lives of millions of people. #Islam,1,racism
7,"@DianH4 @ExposeFalsehood If the Muslim world ever produced anything but tyrants, dictators, fascists, and fanatics we would support them.",1,racism
8,"RT @aruaugust: lost glory of islam...whats that?am not aware of any glory,any grt contribution frm them to the world?",1,racism
9,@Iz_abdul Islam and Muslims shame Islam. http://t.co/uqgMLy8sfJ,1,racism
10,@discerningmumin Wrong. Apostacy is the equivalent of leaving America and becoming a citizen of another country. There is no penalty.,1,racism
11,"@MaxBlumenthal @NYTOpinionator @Volker_Beck Blumenthal's silence on the Muslim Jihad against humanity, and it's cost.",1,racism
12,@AAlwuhaib1977 Muslims are raping Christian girls with impunity around the world. http://t.co/liSKP9U8Uq,1,racism
13,@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 ISIS has slavery because the prophet Mohammed was a slave owner and trader.,1,racism
14,"@AAlwuhaib1977 The Muslim mobs of Bangladesh attack Hindus, destroying thousands of homes and temples. http://t.co/INLiK2TlCP",1,racism
15,"@DianH4 Not only do that, but they can dump their wives, leaving them nothing, by saying three times, ""I Divorce you"". Barbaric.",1,racism
16,"RT @joe_nuzz: Graphic of growth of Radical Islam following 6 years of care,nurture,coddling by US Democrats #Islamists http://t.co/3YAx9Wpm…",1,racism
17,"@truaemusic Again you are an idiot. ""Others did bad things, so we have to ignore the barbarity of Islam,""",1,racism
18,@obsurfer84 The ME led the world in development before there was Islam and fell behind the world after Islam.,1,racism
19,@NiceeNhess All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,1,racism
20,RT @PeterTownsend7: #islam #isis Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/UFW1z4dE60,1,racism
21,"RT @xertx3: Islam is a Worldwide mega disaster .Islam wants to drag us down to the 7th century, darkness, death and  destruction.",1,racism
22,@teddyboylocsin @tweetybird2009 @PatVPeters Mohammed was a caravan robber.  ISIS steals others property.,1,racism
23,"@AbbsWinston @andyblueskyz Jews need to be trained to liberate Palestine of Muslims, who are the real cancer. http://t.co/1vBOSYV587",1,racism
24,RT @SmokeNMirrors71: @AceofSpadesHQ Same MSM that insists Islam has no connection w/terror censors cartoons cuz they fear being murdered. S…,1,racism
25,@dankmtl Are you now going to play the ignorant argumentative asshole and pretend there is no Arabian peninsula?,1,racism
26,RT @hstapanghosh: Suicide bombing by 10-year-old girl@ Nigeria kills10 http://t.co/jareR5Dzal Blowing up a 10 yr old girl-inspired by Islam…,1,racism
27,@5Haqq @abualiis Just like there was 1400 years ago. The flies are free.,1,racism
28,@DianH4 @ExposeFalsehood A. Their bodies are far from finishing growth. B. Their minds are far from finishing growth.,1,racism
29,@ameedjadallah I read the entire Quran.  Islam is what is wrong.,1,racism
30,"@islam4libya5 @IslamRevlution @BintStranger No, Islam declared war on all humanity 1400 years ago. So all ""non believers"" despise Islam.",1,racism
31,"RT @Redeemed1952: 🔵DEMS, the party that kicked GOD to the curb, but DEFENDS ISLAM! http://t.co/CRQJE6vvfT",1,racism
32,@oni_keji @TheAtlantic This is political opinion.  The truth is that Islam is itself radical and we must outlaw it.,1,racism
33,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Before the British showed up, the Muslims murdered 80 million Hindus.",1,racism
34,@ProudPatriot101 You are on the right side of the Muslim issue and the wrong side of the Ukraine issue.,1,racism
35,@shehzilk @watan71969 99% of the time you Muslims play the victim card it's a lie and the reverse is true. http://t.co/xQxxQ4wDho,1,racism
36,@Vandaliser @sajid_fairooz @IsraeliRegime There are no Jews in Saudi or many of the Gulf states because the Muslims exterminated them.,1,racism
37,@JoRitson Pieces of shit like you are doing everything in your power to exterminate white people.,1,racism
38,@biebervalue @greenlinerzjm Here is the Quran stating that the witness of a woman is worth half that of a man. #Islam http://t.co/qlZFV7ZXkJ,1,racism
39,"@AhleFars So they blow up statues and churches and attack civilians because it's all they can do as they ""die in their rage"".",1,racism
40,"@ZamiraTwitt On the contrary, the brutal, bigoted, sexist god of Islam encourages the abuse of women. http://t.co/AFuW9Veuu6",1,racism
41,@RangAbdullah Is that suppose to be some kind of stupid excuse for the barbarity of the Shia militia?,1,racism
42,Saudi Sewer Qurans. What a perfect idea. And what a perfect place for a Quran. #Saudi #Islam #ISIS #Pakistan http://t.co/1Vgi0KNSUF,1,racism
43,"RT @brassidio: Muhammad burned Muslims to death for Missing Fajr Prayer.
 http://t.co/nFw0HpX0JW #IslamicState #ISIS #islam http://t.co/uPt…",1,racism
44,@MaxBlumenthal So why doesn't Blumenthal go and ask Hamas why they never have elections.,1,racism
45,@yuskan0723 The prophet Mohammed was a caravan robber who declared war on all humanity. Hope the Jews recover their stolen land.,1,racism
46,@LifeInKhilafah Salahuddin was a general who fought for Islamic slavery.  What does that have to do with Kurds fighting for freedom today?,1,racism
47,"@MaxBlumenthal Yeap, there is only so much bandwidths for self genocidal Jews, and it's Blumenthal's turn to be the center of attention.",1,racism
48,@usamani1 Seems like being a Muslim and living off a steady diet of conspiracy theories go together.  Islam is a religion of ignorance.,1,racism
49,@CTVToronto These campaigns are all lies that try to portray Islam to the West as being the exact opposite of what it really is - barbaric.,1,racism
50,@StrangerOnFire @Raqqa_Sl It worked out perfectly.  When the Muslims invaded Europe in 8th cent only military defeat stopped them.,1,racism
51,"@Kaya786 And since Islam is a religion of murder, bigotry and hatred, hating Islam is rational. http://t.co/yVoMfK1ytk",1,racism
52,@Vandaliser @sajid_fairooz @IsraeliRegime Why do you think Israel is most technological country in that part of world http://t.co/KWo0Uis3RD,1,racism
53,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 The term Islamophobe makes as much sense as Naziophobe.,1,racism
54,@SevilZadeh Karen Armstrong was interested in writing a hero worship book that would sell with Muslims.  Very narrow picture.,1,racism
55,@REMY119 Muslims are fighting with every religion and none religion on the face of the earth.  But we are suppose to believe it's Jews fault,1,racism
56,@yousufpoosuf @RKingLive2Dance @izrinhariri Inciting hatred is central to Islam in order to promote imperialism. http://t.co/kisCI219au,1,racism
57,@DianH4 @InviteToIslam There are no scholars in Islam. Superstition is not a subject for scholars.,1,racism
58,@buttercupashby @MaDaSaHaTtEr_17 And you lie again. The majority of Muslims were forced into it. http://t.co/uMKItLB5h9,1,racism
59,"RT @MaajidNawaz: .@ggreenwald teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/…",1,racism
60,"@halalflaws @haroonstyles @AMohedin @islamdefense @greenlinerzjm Islam allows men divorce by saying I divorce you, three times, not women.",1,racism
61,RT @EVIL_DAESH: 12-yr-old sold as #ISIS slave to a 50-yr-old man said she didn't know what rape meant- only that she woke up bleeding http:…,1,racism
62,RT @sudixitca: You say Islam is a religion. I say it is a cult. Islam's activities match the description of crime mafia. You must bust it. …,1,racism
63,"@asem_1994 Islam only talked about the freeing of slaves who were Muslims.Since Mohammed was a slave owner,it continued to today. Good night",1,racism
64,"@jihadi_11 @Sheikh_Times3 What do you care, scumbag? You murder and enslave unarmed Ezidi and Christian civilians.",1,racism
65,"@98Halima @johnnygjokaj @rfrankh53 @BilalIGhumman @cdnKhadija No Muslim land has ever lived under anything but tyrants, dummy.",1,racism
66,@nyazpolitics @urgedharry @greenlinerzjm Your religion is a murderous pile of filth. http://t.co/XW63vR3NMR,1,racism
67,@Kaya786 @fai3an_H In the Quran Islam declared war on all mankind 1400 years ago. It is time for humanity to return the favor.,1,racism
68,"@1oNo1_Islam This is lying propaganda. If you want to know what filth and hatred Islam is, just read the Quran.",1,racism
69,Kayla Mueller tried to help the Islamists with humanitarian aid and they showed how much they appreciated it by imprisoning her.  #Islam,1,racism
70,"@LifeInKhilafah Well, since Islam is full of hate and divisiveness, it does bring thugs who hate to Islam.",1,racism
71,@nrllhkose @amberinzaman Turkey is Islamist. Let them pay the price for Islamofasicsm. Europe and US are secular. Don't want Islamolunatics.,1,racism
72,@discerningmumin Killing people because they believe differently than you and express that is not an excuse for murder except among Muslims.,1,racism
73,@Vandaliser @sajid_fairooz @IsraeliRegime The Jews initially all lived in Muslim lands.  The vast majority now live in Christian lands.,1,racism
74,@harmlesstree2 @MaxBlumenthal Not only them. Mohammed ejected the other 2 Jewish tribes from Medina and later slaughtered them at Khybar.,1,racism
75,@Michaelplates Most likely killed by Muslims; and I'm happy to see the Israelis get back a small fraction of the land the Muslims stole.,1,racism
76,@_Ibn_Latif @Colonel_Shami Mohammed hid behind a trench in Medina when the Meccan army showed up.  So I guess he was a coward for that also.,1,racism
77,@Salon @TheMuslimGuy Do you think that the cretins at Salon understand Mohammed's declaration of war on humanity? No http://t.co/CvhAFFBFAq,1,racism
78,@SelenaKhan14 @PTISalarKhan @georgegalloway It's nothing compared to Muslim Pakistani mobs murdering Christians and Hindus on fake blasphemy,1,racism
79,RT @davidjones720: OBAMA and his love for golf is greater that love for CHRISTIANS or Jews ! http://t.co/LludcU5jSP,1,racism
80,It's unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of Islam. Not one has read the Quran.,1,racism
81,@PoliticalAnt @Lithobolos @ZaibatsuNews That should be true. But ISIS exists to follow the religion exactly.,1,racism
